abalanzar; equilibrar, igualar, nivelar, compensar
abecedario; silabario, abecé, alfabeto, lectura
abertura; rendija, hendidura, grieta, resquicio
ablandar; molificar, suavizar, mitigar, conmover, emblandecer
abogar; patrocinar, interceder, defender, resguardar
abolir; derogar, anular, invalidar, revocar, cancelar
abominar; detestar, execrar, aborrecer, odiar
aborigen; nativo, indígena, vernáculo, autóctono, originario, natural
abortar; malparir, malograr, fracasar, frustrar
abrasar; quemar, consumir, arder, incendiar, enardecer, encender
abrazar; ceñir, abarcar, rodear, comprender
abrir; perforar, taladrar, horadar, agujerear, rasgar, agrietar
abrogar; abolir, anular, derogar, invalidar, revocar
absorber; embeber, atraer, captar, empapar, chupar, aspirar, sorber
abstenerse; privarse, prescindir, desechar, inhibirse
abstracción; ensimismamiento, reconcentración, absorbimiento
abultar; acrecentar, agrandar, ponderar, exagerar
abundar; sobrar, bastar, saturar, pulular, multiplicar
abusar; atropellar, violar, someter, excederse, forzar, infamia, ruindad, vileza, villanía, bajeza, humillación
abyección; Infamia, ruindad, vileza, villanía, bajeza, humillación
abyecto; despreciable, vil, ignominioso, rastrero, servil, bajo
acabar; terminar, concluir, finiquitar finalizar, ultimar
academia; escuela, colegio, instituto, corporación, orden
acaecer; suceder, ocurrir, acontecer, surgir, pasar
acalorarse; exaltarse, enardecerse, irritarse, sofocarse, entusiasmarse
acatar; obedecer, respetar, someterse, doblegarse
acción; hecho, acto, actividad, movimiento
acendrar; depurar, limpiar, acrisolar pulimentar, purificar
acervo; cúmulo, conjunto, caudal, bagaje, acumulación
achaque; dolencia, enfermedad, defecto, tacha
acibarar; amargar, disgustar, apesadumbrar, turbar
aclamar; aplaudir, ovacionar, vitorear, proclamar
aclarar; explicar, esclarecer, dilucidar, despejar
acodar; sostener, apoyar, apuntalar, doblegar
acollar; uncir, enyugar, acoyundar, entrelazar
acomodar; adecuar, adaptar, combinar, acondicionar, arreglar
acoplar; unir, enlazar, casar, encajar, ajustar, trabar, soldar
acorazar; blindar, proteger, revestir, defender
acrecentar; aumentar, acrecer, propagar, agrandar, extender
acribillar; agujerear, taladrar, horadar, acuchillar
actitud; ademán, disposición, modales, expresión, posición, postura
actual; presente, real, hodierno, moderno
actuar; obrar, ejecutar, proceder, ejercer, hacer
